epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92583,1.34165,3.87212,1.09412,0.00333,1,0.67433,0.44882,0.99329,3.71852,0.88332,0.00026,0.00026,0.00026
2,12.2305,1.3024,2.61989,1.09169,0.00333,1,0.21355,0.15591,1.02961,3.73355,1.00595,0.000534654,0.000534654,0.000534654
3,16.6145,1.38154,2.5052,1.19175,0.003,0.9,0.00726,0.0033,1.32231,4.20154,1.31337,0.000803764,0.000803764,0.000803764
4,20.8834,1.40683,2.41533,1.18177,0.003,0.9,0.00562,0.00332,1.35659,3.96238,1.39581,0.00106733,0.00106733,0.00106733
5,25.166,1.48832,2.18205,1.18841,0.00283,0.85,0.01268,0.00808,1.25397,3.59414,1.32469,0.00132535,0.00132535,0.00132535
6,29.2505,1.46117,2.32784,1.21123,0.00332,0.15,0.00423,0.00241,1.55829,9.23447,1.55096,0.00157783,0.00157783,0.00157783
7,33.1754,1.41514,1.97811,1.17534,0.02461,0.2044,0.01351,0.00823,1.48538,4.12053,1.59375,0.00182476,0.00182476,0.00182476
8,37.166,1.56025,2.09918,1.34118,0.06243,0.2,0.03843,0.01941,1.80294,3.60585,1.6947,0.0018614,0.0018614,0.0018614
9,41.4472,1.46919,1.87439,1.22393,0.08396,0.15,0.0508,0.02951,2.20552,3.55134,1.94424,0.0018416,0.0018416,0.0018416
10,45.5887,1.45381,1.79239,1.21217,0.88581,0.3,0.40241,0.27149,1.52567,2.56997,1.28255,0.0018218,0.0018218,0.0018218
11,49.85,1.33144,1.59091,1.15493,0.35732,0.25,0.13991,0.08819,1.56544,4.45051,1.43345,0.001802,0.001802,0.001802
12,54.0895,1.35677,1.99644,1.13659,0.0527,0.35,0.04059,0.02783,1.5152,9.34885,1.53382,0.0017822,0.0017822,0.0017822
13,58.2576,1.39247,1.57754,1.18161,0.10879,0.4,0.15413,0.10468,1.60139,4.67881,1.51914,0.0017624,0.0017624,0.0017624
14,62.4244,1.33232,1.65617,1.1345,0.56581,0.55,0.50505,0.33252,1.48995,2.33419,1.43464,0.0017426,0.0017426,0.0017426
15,66.7134,1.33799,1.43609,1.16489,0.74914,0.7,0.69111,0.4109,1.29994,2.0717,1.33571,0.0017228,0.0017228,0.0017228
16,70.9084,1.3991,1.46779,1.20467,0.65575,0.25,0.35807,0.24945,1.46067,4.00419,1.4766,0.001703,0.001703,0.001703
17,74.9621,1.22725,1.25511,1.13776,0.74789,0.3,0.392,0.29805,1.43308,5.76639,1.35645,0.0016832,0.0016832,0.0016832
18,79.1442,1.28461,1.27675,1.13055,0.80645,0.45,0.43731,0.28724,1.61412,6.66055,1.50424,0.0016634,0.0016634,0.0016634
19,83.313,1.24759,1.17662,1.12595,0.67733,0.4,0.44077,0.30313,1.62953,4.4738,1.45297,0.0016436,0.0016436,0.0016436
20,87.3306,1.29495,1.22486,1.15919,0.92688,0.63465,0.71447,0.50603,1.35317,1.38781,1.24964,0.0016238,0.0016238,0.0016238
21,91.4474,1.1999,1.09606,1.11883,0.86866,0.65,0.69068,0.45302,1.54907,1.48179,1.47396,0.001604,0.001604,0.001604
22,95.7641,1.23455,1.09337,1.13369,0.74691,0.73827,0.70041,0.45139,1.27466,1.25183,1.28937,0.0015842,0.0015842,0.0015842
23,100.314,1.34507,1.2264,1.12034,0.77134,0.67537,0.74585,0.48029,1.3381,1.20164,1.35877,0.0015644,0.0015644,0.0015644
24,104.776,1.25434,1.10125,1.1253,0.65679,0.55,0.49918,0.28003,1.44968,2.64316,1.38152,0.0015446,0.0015446,0.0015446
25,109.165,1.16358,1.03087,1.07894,0.71023,0.75,0.69607,0.41159,1.42907,1.42595,1.37207,0.0015248,0.0015248,0.0015248
26,113.426,1.27889,1.17283,1.17047,0.73564,0.65,0.62173,0.41114,1.43137,1.36002,1.36168,0.001505,0.001505,0.001505
27,117.946,1.21391,1.01439,1.09611,0.6521,0.5,0.41383,0.27699,1.61992,5.24191,1.4568,0.0014852,0.0014852,0.0014852
28,122.523,1.29792,1.01518,1.14372,0.74692,0.65,0.67105,0.46005,1.32317,1.15873,1.30499,0.0014654,0.0014654,0.0014654
29,127.154,1.22144,1.01569,1.11679,0.76255,0.64268,0.65473,0.44221,1.26483,1.3416,1.20805,0.0014456,0.0014456,0.0014456
30,131.403,1.2613,1.05664,1.13819,0.72724,0.55,0.67032,0.48242,1.25009,1.20473,1.29565,0.0014258,0.0014258,0.0014258
31,135.693,1.15715,0.9698,1.1004,0.92208,0.59222,0.66381,0.46651,1.12922,1.48851,1.10641,0.001406,0.001406,0.001406
32,140.244,1.04445,0.98013,0.9904,0.82626,0.55,0.65302,0.48142,1.22698,1.29313,1.23512,0.0013862,0.0013862,0.0013862
33,144.572,1.15015,0.88012,1.05775,0.78812,0.6,0.70629,0.49098,1.21025,1.27507,1.18853,0.0013664,0.0013664,0.0013664
34,149.175,1.10898,0.89434,1.05246,0.80275,0.65,0.62505,0.44275,1.21862,1.29727,1.19307,0.0013466,0.0013466,0.0013466
35,153.328,1.15862,0.90521,1.09775,0.78456,0.7,0.72505,0.5122,1.14668,1.11277,1.1604,0.0013268,0.0013268,0.0013268
36,157.603,1.12774,0.85095,1.04161,0.78819,0.74451,0.74764,0.56685,1.12797,0.98272,1.12926,0.001307,0.001307,0.001307
