epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.171,1.40765,2.57988,1.43589,0.76873,0.69767,0.74816,0.4033,1.46771,2.24166,1.43147,0.00332465,0.00332465,0.00332465
2,227.412,1.46853,1.85674,1.49766,0.69958,0.59571,0.63156,0.31035,1.67273,2.05686,1.62151,0.00661404,0.00661404,0.00661404
3,341.052,1.58752,1.68792,1.59179,0.45647,0.4031,0.37057,0.1765,1.96185,2.31499,2.04845,0.00985943,0.00985943,0.00985943
4,461.946,1.67626,1.72761,1.6997,0.6363,0.6124,0.63231,0.31246,1.66779,1.81574,1.71398,0.009802,0.009802,0.009802
5,588.345,1.64511,1.61014,1.68894,0.72747,0.50775,0.58653,0.28412,1.73865,1.81101,1.77455,0.009736,0.009736,0.009736
6,719.134,1.6116,1.54735,1.65749,0.79866,0.68411,0.74947,0.41471,1.57037,1.33996,1.62746,0.00967,0.00967,0.00967
7,852.444,1.58027,1.47848,1.63638,0.7415,0.71156,0.75449,0.41521,1.62211,1.21186,1.64392,0.009604,0.009604,0.009604
8,987.259,1.54865,1.42395,1.61396,0.75764,0.68798,0.74812,0.41404,1.57235,1.28132,1.62068,0.009538,0.009538,0.009538
9,1123.64,1.52145,1.38749,1.59387,0.80828,0.72093,0.79401,0.43716,1.51601,1.19609,1.56886,0.009472,0.009472,0.009472
10,1263.22,1.51067,1.34061,1.57702,0.80036,0.76138,0.82597,0.47714,1.49686,1.13656,1.55915,0.009406,0.009406,0.009406
11,1398.46,1.47598,1.29013,1.55649,0.76186,0.75775,0.80601,0.47666,1.45865,1.12357,1.5132,0.00934,0.00934,0.00934
12,1532.24,1.46807,1.28102,1.55918,0.80953,0.72483,0.77821,0.44923,1.56081,1.18228,1.61548,0.009274,0.009274,0.009274
13,1665.56,1.45075,1.24601,1.53998,0.80387,0.7907,0.82841,0.49167,1.42497,1.05192,1.50085,0.009208,0.009208,0.009208
14,1799.1,1.43107,1.21772,1.52527,0.84729,0.77421,0.85815,0.51397,1.44527,1.00341,1.50356,0.009142,0.009142,0.009142
